longrange1,latrange1,longrange2,latrange2
-44.88932059999996,-23.26893199999997,-44.839320599999965,-23.21893199999997
-44.88932059999996,-23.21893199999997,-44.839320599999965,-23.16893199999997
-44.88932059999996,-23.16893199999997,-44.839320599999965,-23.11893199999997
-44.839320599999965,-23.318931999999972,-44.78932059999997,-23.26893199999997
-44.839320599999965,-23.26893199999997,-44.78932059999997,-23.21893199999997
-44.839320599999965,-23.21893199999997,-44.78932059999997,-23.16893199999997
-44.839320599999965,-23.16893199999997,-44.78932059999997,-23.11893199999997
-44.839320599999965,-23.11893199999997,-44.78932059999997,-23.06893199999997
-44.839320599999965,-23.06893199999997,-44.78932059999997,-23.018931999999968
-44.839320599999965,-23.018931999999968,-44.78932059999997,-22.968931999999967
-44.839320599999965,-22.41893199999996,-44.78932059999997,-22.36893199999996
-44.78932059999997,-23.368931999999973,-44.73932059999997,-23.318931999999972
-44.78932059999997,-23.318931999999972,-44.73932059999997,-23.26893199999997
-44.78932059999997,-23.26893199999997,-44.73932059999997,-23.21893199999997
-44.78932059999997,-23.21893199999997,-44.73932059999997,-23.16893199999997
-44.78932059999997,-23.16893199999997,-44.73932059999997,-23.11893199999997
-44.78932059999997,-23.11893199999997,-44.73932059999997,-23.06893199999997
-44.78932059999997,-23.06893199999997,-44.73932059999997,-23.018931999999968
-44.78932059999997,-23.018931999999968,-44.73932059999997,-22.968931999999967
-44.78932059999997,-22.968931999999967,-44.73932059999997,-22.918931999999966
-44.78932059999997,-22.46893199999996,-44.73932059999997,-22.41893199999996
-44.78932059999997,-22.41893199999996,-44.73932059999997,-22.36893199999996
-44.73932059999997,-23.368931999999973,-44.689320599999974,-23.318931999999972
-44.73932059999997,-23.318931999999972,-44.689320599999974,-23.26893199999997
-44.73932059999997,-23.26893199999997,-44.689320599999974,-23.21893199999997
-44.73932059999997,-23.21893199999997,-44.689320599999974,-23.16893199999997
-44.73932059999997,-23.16893199999997,-44.689320599999974,-23.11893199999997
-44.73932059999997,-23.11893199999997,-44.689320599999974,-23.06893199999997
-44.73932059999997,-23.06893199999997,-44.689320599999974,-23.018931999999968
-44.73932059999997,-23.018931999999968,-44.689320599999974,-22.968931999999967
-44.73932059999997,-22.968931999999967,-44.689320599999974,-22.918931999999966
-44.73932059999997,-22.56893199999996,-44.689320599999974,-22.51893199999996
-44.73932059999997,-22.51893199999996,-44.689320599999974,-22.46893199999996
-44.73932059999997,-22.46893199999996,-44.689320599999974,-22.41893199999996
-44.73932059999997,-22.41893199999996,-44.689320599999974,-22.36893199999996
-44.73932059999997,-22.36893199999996,-44.689320599999974,-22.318931999999958
-44.689320599999974,-23.368931999999973,-44.63932059999998,-23.318931999999972
-44.689320599999974,-23.318931999999972,-44.63932059999998,-23.26893199999997
-44.689320599999974,-23.26893199999997,-44.63932059999998,-23.21893199999997
-44.689320599999974,-23.21893199999997,-44.63932059999998,-23.16893199999997
-44.689320599999974,-23.16893199999997,-44.63932059999998,-23.11893199999997
-44.689320599999974,-23.11893199999997,-44.63932059999998,-23.06893199999997
-44.689320599999974,-23.06893199999997,-44.63932059999998,-23.018931999999968
-44.689320599999974,-23.018931999999968,-44.63932059999998,-22.968931999999967
-44.689320599999974,-22.968931999999967,-44.63932059999998,-22.918931999999966
-44.689320599999974,-22.918931999999966,-44.63932059999998,-22.868931999999965
-44.689320599999974,-22.618931999999962,-44.63932059999998,-22.56893199999996
-44.689320599999974,-22.56893199999996,-44.63932059999998,-22.51893199999996
-44.689320599999974,-22.51893199999996,-44.63932059999998,-22.46893199999996
-44.689320599999974,-22.46893199999996,-44.63932059999998,-22.41893199999996
-44.689320599999974,-22.41893199999996,-44.63932059999998,-22.36893199999996
-44.689320599999974,-22.36893199999996,-44.63932059999998,-22.318931999999958
-44.63932059999998,-23.368931999999973,-44.58932059999998,-23.318931999999972
-44.63932059999998,-23.318931999999972,-44.58932059999998,-23.26893199999997
-44.63932059999998,-23.26893199999997,-44.58932059999998,-23.21893199999997
-44.63932059999998,-23.21893199999997,-44.58932059999998,-23.16893199999997
-44.63932059999998,-23.11893199999997,-44.58932059999998,-23.06893199999997
-44.63932059999998,-23.06893199999997,-44.58932059999998,-23.018931999999968
-44.63932059999998,-23.018931999999968,-44.58932059999998,-22.968931999999967
-44.63932059999998,-22.968931999999967,-44.58932059999998,-22.918931999999966
-44.63932059999998,-22.918931999999966,-44.58932059999998,-22.868931999999965
-44.63932059999998,-22.668931999999963,-44.58932059999998,-22.618931999999962
-44.63932059999998,-22.618931999999962,-44.58932059999998,-22.56893199999996
-44.63932059999998,-22.56893199999996,-44.58932059999998,-22.51893199999996
-44.63932059999998,-22.51893199999996,-44.58932059999998,-22.46893199999996
-44.63932059999998,-22.46893199999996,-44.58932059999998,-22.41893199999996
-44.63932059999998,-22.41893199999996,-44.58932059999998,-22.36893199999996
-44.63932059999998,-22.36893199999996,-44.58932059999998,-22.318931999999958
-44.58932059999998,-23.368931999999973,-44.53932059999998,-23.318931999999972
-44.58932059999998,-23.318931999999972,-44.53932059999998,-23.26893199999997
-44.58932059999998,-23.26893199999997,-44.53932059999998,-23.21893199999997
-44.58932059999998,-23.21893199999997,-44.53932059999998,-23.16893199999997
-44.58932059999998,-23.11893199999997,-44.53932059999998,-23.06893199999997
-44.58932059999998,-23.06893199999997,-44.53932059999998,-23.018931999999968
-44.58932059999998,-23.018931999999968,-44.53932059999998,-22.968931999999967
-44.58932059999998,-22.968931999999967,-44.53932059999998,-22.918931999999966
-44.58932059999998,-22.918931999999966,-44.53932059999998,-22.868931999999965
-44.58932059999998,-22.668931999999963,-44.53932059999998,-22.618931999999962
-44.58932059999998,-22.618931999999962,-44.53932059999998,-22.56893199999996
-44.58932059999998,-22.56893199999996,-44.53932059999998,-22.51893199999996
-44.58932059999998,-22.51893199999996,-44.53932059999998,-22.46893199999996
-44.58932059999998,-22.46893199999996,-44.53932059999998,-22.41893199999996
-44.58932059999998,-22.41893199999996,-44.53932059999998,-22.36893199999996
-44.58932059999998,-22.36893199999996,-44.53932059999998,-22.318931999999958
-44.53932059999998,-23.318931999999972,-44.489320599999985,-23.26893199999997
-44.53932059999998,-23.26893199999997,-44.489320599999985,-23.21893199999997
-44.53932059999998,-23.06893199999997,-44.489320599999985,-23.018931999999968
-44.53932059999998,-23.018931999999968,-44.489320599999985,-22.968931999999967
-44.53932059999998,-22.968931999999967,-44.489320599999985,-22.918931999999966
-44.53932059999998,-22.918931999999966,-44.489320599999985,-22.868931999999965
-44.53932059999998,-22.868931999999965,-44.489320599999985,-22.818931999999965
-44.53932059999998,-22.668931999999963,-44.489320599999985,-22.618931999999962
-44.53932059999998,-22.618931999999962,-44.489320599999985,-22.56893199999996
-44.53932059999998,-22.56893199999996,-44.489320599999985,-22.51893199999996
-44.53932059999998,-22.51893199999996,-44.489320599999985,-22.46893199999996
-44.53932059999998,-22.46893199999996,-44.489320599999985,-22.41893199999996
-44.53932059999998,-22.41893199999996,-44.489320599999985,-22.36893199999996
-44.53932059999998,-22.36893199999996,-44.489320599999985,-22.318931999999958
-44.53932059999998,-22.318931999999958,-44.489320599999985,-22.268931999999957
-44.489320599999985,-23.06893199999997,-44.43932059999999,-23.018931999999968
-44.489320599999985,-23.018931999999968,-44.43932059999999,-22.968931999999967
-44.489320599999985,-22.968931999999967,-44.43932059999999,-22.918931999999966
