NM_MUN,network_count
Rio de Janeiro,1282323.0
Niterói,65870.0
Petrópolis,60885.0
Cabo Frio,52382.0
Nova Iguaçu,43343.0
Duque de Caxias,43101.0
São João de Meriti,39111.0
Rio das Ostras,35191.0
Nova Friburgo,28296.0
Três Rios,23698.0
São Gonçalo,21948.0
Angra dos Reis,20872.0
Volta Redonda,19545.0
Macaé,17813.0
São Pedro da Aldeia,16093.0
Campos dos Goytacazes,15591.0
Nilópolis,13647.0
Resende,12090.0
Barra Mansa,10755.0
Barra do Piraí,10358.0
Belford Roxo,9373.0
Mesquita,9327.0
Itaguaí,8136.0
Itaboraí,8124.0
Armação dos Búzios,7715.0
Casimiro de Abreu,5461.0
Maricá,4919.0
Seropédica,4846.0
Araruama,4426.0
Magé,4252.0
Quissamã,3873.0
Paraty,3597.0
Piraí,3455.0
Teresópolis,3429.0
Itaperuna,3099.0
Cachoeiras de Macacu,2994.0
Rio Bonito,2869.0
Itatiaia,2585.0
Arraial do Cabo,2532.0
São José de Ubá,2063.0
Paraíba do Sul,1954.0
Vassouras,1942.0
Iguaba Grande,1825.0
Guapimirim,1399.0
Mendes,1252.0
Areal,1165.0
Tanguá,1091.0
Queimados,998.0
Bom Jesus do Itabapoana,945.0
Valença,793.0
Porto Real,740.0
Mangaratiba,705.0
Conceição de Macabu,701.0
Quatis,685.0
Paracambi,607.0
Rio Claro,562.0
Itaocara,430.0
Silva Jardim,366.0
Engenheiro Paulo de Frontin,359.0
Santo Antônio de Pádua,208.0
Pinheiral,137.0
Comendador Levy Gasparian,124.0
Bom Jardim,49.0
São João da Barra,39.0
Miguel Pereira,37.0
Cordeiro,36.0
Saquarema,31.0
Aperibé,26.0
Japeri,25.0
Rio das Flores,19.0
Carapebus,7.0
Paty do Alferes,5.0
São Fidélis,3.0
Sumidouro,2.0
Cambuci,0.0
Carmo,0.0
Duas Barras,0.0
Cantagalo,0.0
Cardoso Moreira,0.0
Natividade,0.0
Laje do Muriaé,0.0
Italva,0.0
Miracema,0.0
Macuco,0.0
Porciúncula,0.0
São Francisco de Itabapoana,0.0
Santa Maria Madalena,0.0
Sapucaia,0.0
São Sebastião do Alto,0.0
São José do Vale do Rio Preto,0.0
Trajano de Moraes,0.0
Varre-Sai,0.0
