"Territorialidade","IDHM"
"Niterói (RJ)",0.837
"Rio de Janeiro (RJ)",0.799
"Rio das Ostras (RJ)",0.773
"Volta Redonda (RJ)",0.771
"Resende (RJ)",0.768
"Maricá (RJ)",0.765
"Macaé (RJ)",0.764
"Iguaba Grande (RJ)",0.761
"Mangaratiba (RJ)",0.753
"Nilópolis (RJ)",0.753
"Nova Friburgo (RJ)",0.745
"Miguel Pereira (RJ)",0.745
"Petrópolis (RJ)",0.745
"São Gonçalo (RJ)",0.739
"Valença (RJ)",0.738
"Mesquita (RJ)",0.737
"Itatiaia (RJ)",0.737
"Mendes (RJ)",0.736
"Cabo Frio (RJ)",0.735
"Barra do Piraí (RJ)",0.733
"Arraial do Cabo (RJ)",0.733
"Bom Jesus do Itabapoana (RJ)",0.732
"Itaperuna (RJ)",0.73
"Natividade (RJ)",0.73
"Teresópolis (RJ)",0.73
"Barra Mansa (RJ)",0.729
"Cordeiro (RJ)",0.729
"Armação dos Búzios (RJ)",0.728
"Casimiro de Abreu (RJ)",0.726
"Três Rios (RJ)",0.725
"Angra dos Reis (RJ)",0.724
"Engenheiro Paulo de Frontin (RJ)",0.722
"Paracambi (RJ)",0.72
"São João de Meriti (RJ)",0.719
"Araruama (RJ)",0.718
"Santo Antônio de Pádua (RJ)",0.718
"Campos dos Goytacazes (RJ)",0.716
"Itaguaí (RJ)",0.715
"Pinheiral (RJ)",0.715
"Vassouras (RJ)",0.714
"Itaocara (RJ)",0.713
"Porto Real (RJ)",0.713
"Miracema (RJ)",0.713
"Carapebus (RJ)",0.713
"Nova Iguaçu (RJ)",0.713
"Seropédica (RJ)",0.713
"Conceição de Macabu (RJ)",0.712
"São Pedro da Aldeia (RJ)",0.712
"Duque de Caxias (RJ)",0.711
"Rio Bonito (RJ)",0.71
"Saquarema (RJ)",0.709
"Magé (RJ)",0.709
"Cantagalo (RJ)",0.709
"Piraí (RJ)",0.708
"Quissamã (RJ)",0.704
"Macuco (RJ)",0.703
"Paraíba do Sul (RJ)",0.702
"Cachoeiras de Macacu (RJ)",0.7
"Guapimirim (RJ)",0.698
"Porciúncula (RJ)",0.697
"Carmo (RJ)",0.696
"Itaboraí (RJ)",0.693
"Paraty (RJ)",0.693
"Aperibé (RJ)",0.692
"Cambuci (RJ)",0.691
"São Fidélis (RJ)",0.691
"Quatis (RJ)",0.69
"Italva (RJ)",0.688
"Comendador Levy Gasparian (RJ)",0.685
"Areal (RJ)",0.684
"Belford Roxo (RJ)",0.684
"Rio Claro (RJ)",0.683
"Queimados (RJ)",0.68
"Rio das Flores (RJ)",0.68
"Sapucaia (RJ)",0.675
"Paty do Alferes (RJ)",0.671
"São João da Barra (RJ)",0.671
"Santa Maria Madalena (RJ)",0.668
"Laje do Muriaé (RJ)",0.668
"Trajano de Moraes (RJ)",0.667
"Bom Jardim (RJ)",0.66
"São José do Vale do Rio Preto (RJ)",0.66
"Japeri (RJ)",0.659
"Duas Barras (RJ)",0.659
"Varre-Sai (RJ)",0.659
"Silva Jardim (RJ)",0.654
"Tanguá (RJ)",0.654
"São José de Ubá (RJ)",0.652
"Cardoso Moreira (RJ)",0.648
"São Sebastião do Alto (RJ)",0.646
"São Francisco de Itabapoana (RJ)",0.639
"Sumidouro (RJ)",0.611
